Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
244H2,17.800,0.000,0.100,0.600,0.500,1.200,1.200,14.650,0.300,26,2,D,Resign
244K2,16.111,0.889,0.111,0.222,1.111,1.444,2.333,13.194,0.278,24,1,A,Resign
244K4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25,0,D,Resign
244K5,8.875,0.750,0.000,0.000,0.000,0.000,0.750,8.875,0.000,21,0,A,Resign
244K6,57.267,0.000,0.533,0.000,0.000,0.533,0.533,39.767,1.667,25,0,W,Working
245H5,6.875,0.000,0.250,0.000,0.000,0.250,0.250,6.875,0.000,31,2,A,Resign
245H8,44.000,0.500,0.000,0.500,0.000,0.500,1.000,28.250,1.500,25,2,D,Resign
245H9,16.500,0.000,0.000,0.000,0.000,0.000,0.000,13.875,0.250,23,2,A,Resign
245K1,32.487,0.410,0.410,0.000,0.000,0.410,0.821,26.026,0.615,36,2,W,Working
245K5,15.000,0.250,0.000,0.000,0.000,0.000,0.250,15.000,0.000,27,0,A,Resign
245K6,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,24,0,D,Resign
246F8,0.476,0.000,0.190,0.476,0.000,0.667,0.667,0.476,0.000,29,4,W,Working
246H9,14.714,0.000,0.000,0.286,0.143,0.429,0.429,12.714,0.190,31,2,W,Working
246K4,47.905,0.667,0.143,0.048,0.095,0.286,0.952,34.905,1.238,22,1,W,Working
246K5,18.100,0.000,0.000,0.000,0.000,0.000,0.000,17.050,0.100,30,0,D,Resign
246K6,45.367,0.800,0.133,0.133,0.000,0.267,1.067,32.767,1.200,27,0,W,Working
247D1,27.974,0.128,0.051,0.000,0.000,0.051,0.179,23.667,0.410,39,5,W,Working
247F3,13.375,0.000,0.500,0.500,0.000,1.000,1.000,10.750,0.250,36,3,A,Resign
247G4,20.300,0.000,0.200,0.000,0.000,0.200,0.200,17.150,0.300,22,3,A,Resign
247H1,26.500,0.000,0.286,0.143,0.000,0.429,0.429,22.000,0.429,25,2,D,Resign
247H6,12.452,0.048,0.619,0.095,0.000,0.714,0.762,10.452,0.190,23,3,W,Working
247H7,19.119,0.476,1.048,0.095,0.238,1.381,1.857,17.119,0.190,24,3,W,Working
247K1,44.641,0.154,0.538,0.051,0.000,0.590,0.744,31.718,1.231,32,2,W,Working
247K4,52.238,0.143,0.095,0.000,0.000,0.095,0.238,38.738,1.286,30,1,W,Working
247K6,24.045,0.636,0.000,0.091,0.000,0.091,0.727,17.364,0.636,20,0,D,Resign
248G9,54.095,0.000,0.048,0.000,0.000,0.048,0.048,38.595,1.476,44,3,W,Working
248H4,19.583,0.167,0.000,0.083,0.583,0.667,0.833,15.208,0.417,32,3,D,Resign
248H9,14.625,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.250,32,2,D,Resign
248K4,59.333,0.000,0.762,0.048,0.000,0.810,0.810,41.333,1.714,20,1,W,Working
248K6,45.700,0.800,0.000,0.133,0.000,0.133,0.933,33.100,1.200,28,0,W,Working
249G6,10.524,0.000,0.571,0.000,0.000,0.571,0.571,10.024,0.048,23,4,W,Working
249K1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25,1,D,Resign
249K2,39.231,0.077,0.731,0.000,0.000,0.731,0.808,29.135,0.962,21,1,A,Resign
249K5,52.190,0.048,0.286,0.000,0.000,0.286,0.333,37.690,1.381,20,1,W,Working
249K6,14.250,0.250,0.000,0.000,0.000,0.000,0.250,9.000,0.500,27,0,D,Resign
250H6,7.476,0.000,0.048,0.000,0.000,0.048,0.048,6.476,0.095,23,3,W,Working
250K3,13.750,0.000,0.250,0.000,0.250,0.500,0.500,13.750,0.000,23,0,D,Resign
250K6,33.654,0.000,2.077,0.000,0.000,2.077,2.077,25.577,0.769,23,0,A,Resign
251D1,11.357,0.000,0.333,0.048,0.000,0.381,0.381,10.857,0.048,28,5,W,Working
251K1,2.500,0.500,0.000,0.000,0.000,0.000,0.500,2.500,0.000,23,1,D,Resign
251K2,32.500,0.000,0.000,0.000,0.000,0.000,0.000,24.625,0.750,20,1,A,Resign
251K3,12.750,0.500,0.500,0.500,0.000,1.000,1.500,10.125,0.250,20,0,D,Resign
251K6,49.667,0.200,0.533,0.000,0.000,0.533,0.733,35.667,1.333,27,0,W,Working
252F7,17.042,0.000,0.083,0.000,0.000,0.083,0.083,15.292,0.167,43,3,A,Resign
252G1,16.071,0.000,0.190,0.000,0.000,0.190,0.190,13.571,0.238,40,4,W,Working
